file,title,word_count,proposed_tags,category,draft_if_short
2023-04-14-it-was-really-nice-to-host-the-meetup-in-our-of.md,It was really nice to host the meetup in our of...,81,meetup;host,Events & Community,no
2023-04-29-im-a-big-fan-of-ted-lassonot-only-the-apple-t.md,I'm a big fan of Ted Lasso.Not only the Apple T...,457,i'm;big;fan;ted;lasso,General,no
2023-05-04-i-met-zahra-during-the-react-meetup-we-hosted-i.md,I met Zahra during the React meetup we hosted i...,59,meetup;met;zahra;during;react,Events & Community,no
2023-05-28-developing-our-empathy-to-be-better-colleagues-and.md,Developing our empathy to be better colleagues and leaders,560,empathy;team;developing;better;leaders,Leadership & Culture,no
2023-05-28-ive-written-a-small-article-on-a-topic-i-usual.md,I've written a small article on a topic I usual...,94,i've;written;small;article;topic,General,no
2023-06-07-it-was-a-delight-to-talk-with-elliot-from-engin.md,It was a delight to talk with Elliot from Engin...,78,talk;delight;elliot;engin,Events & Community,no
2023-06-22-when-someone-has-gone-from-zero-to-hero-in-cont.md,When someone has gone from zero to hero in cont...,83,someone;gone;zero;hero;cont,General,no
2023-07-15-great-recap-by-our-david-of-the-results-of-the.md,Great recap by our David of the results of the ...,57,recap;david;results,General,no
2023-07-18-this-is-a-sad-outcome-although-not-surprising.md,This is a sad outcome - although not surprising...,163,sad;outcome;although;surprising,General,no
2023-07-26-new-podcast-announcement-this-was-a-quite-n.md,New podcast announcement 🎙️: This was a quite n...,79,podcast;new;announcement;quite,Events & Community,no
2023-08-02-if-you-are-looking-for-a-new-role-in-multiple.md,If you are looking for a new role (in multiple ...,42,hiring;new;multiple,Career & Hiring,no
2023-08-06-if-youre-looking-for-your-next-summer-read-m.md,If you're looking for your next summer read - m...,192,reading;you're;next;summer,Learning & Growth,no
2023-08-16-here-we-go-to-a-new-country-now-were-pres.md,"Here we go, to a new country 🇦🇺🦘!Now we're pres...",29,new;country;we're;pres,General,yes
2023-08-22-hey-vrienden-in-nederland-if-you-want-to.md,"Hey, vrienden in Nederland 🇳🇱 - if you want to ...",87,hey;vrienden;nederland,General,no
2023-09-09-really-looking-forward-to-this.md,Really looking forward to this! 🥳,80,,General,no
2023-09-16-hackweek2023-thats-a-wrap.md,#hackweek2023 - that's a wrap!,211,hackweek;that's;wrap,Events & Community,no
2023-09-18-our-hackweek2023-was-great-to-bond-and-networ.md,"Our #hackweek2023 was great to bond, and networ...",423,hackweek;bond;networ,Events & Community,no
2023-09-22-one-humbling-learning-for-me-working-in-finte.md,One (humbling) learning for me working in Finte...,65,learning;humbling;working;finte,Learning & Growth,no
2023-11-07-remember-put-your-mask-on-first-before-help.md,🛫 \,439,,General,no
2023-11-19-this.md,This.,126,,General,no
2023-11-19-thisthere-shouldnt-be-a-separate-engineerin.md,This.\,126,,General,no
2023-12-07-in-a-time-where-payments-get-more-expensive-i.md,💳 In a time where payments get more expensive i...,112,payments;time;get;expensive,Fintech & Business,no
2023-12-11-more-fuel-to-deliver-on-our-vision-to-create-a.md,More fuel to deliver on our vision: to create a...,65,fuel;deliver;vision;create,General,no
2023-12-17-ive-been-thinking-a-bit-lately-about-setting-a.md,I've been thinking a bit lately about setting a...,93,i've;thinking;bit;lately;setting,General,no
2023-12-17-the-power-of-purposeful-incentives-shaping-behavio.md,The Power of Purposeful Incentives: Shaping Behaviors for Long-Term Success,547,power;purposeful;incentives;shaping;behaviors,General,no
2024-01-05-my-colleague-povilas-jurknas-is-hiring-for-a.md,My colleague Povilas Jurkūnas is #hiring for a ...,35,hiring;colleague;povilas;jurk;nas,Career & Hiring,yes
2024-01-09-one-opportunity-of-a-kind.md,💥 One opportunity of a kind!,52,opportunity;kind,Career & Hiring,no
2024-01-17-stop-the-press-ok-now-that-you-have-stopped.md,STOP THE PRESS 🛑\,187,stop;press,General,no
2024-01-17-stop-the-press.md,STOP THE PRESS 🛑,187,stop;press,General,no
2024-02-14-the-job-itself-is-interesting-high-availabilit.md,The job itself is interesting (high availabilit...,40,hiring;itself;interesting;high;availabilit,Career & Hiring,no
2024-02-19-maybe-you-have-seen-the-sumup-logo-and-beauti.md,🇩🇰Maybe you have seen the SumUp logo and beauti...,84,sumup;maybe;seen;logo;beauti,Fintech & Business,no
2024-02-26-this.md,This.,56,,General,no
2024-02-26-thiswhen-a-conversation-reaches-by-dm-send-it.md,"This.When a conversation reaches by DM, send it...",56,conversation;reaches;send,General,no
2024-02-29-engineering-managers-in-my-network-the-chance.md,Engineering Managers in my network - the chance...,63,engineering;managers;network;chance,Engineering & Product,no
2024-03-01-new-office-home.md,New office home!,34,office;home;new,Work & Life,yes
2024-03-01-new-office-homesoon-were-ready-for-a-visit.md,New office home!Soon we’re ready for a visit - ...,34,office;home;new;soon;ready,Work & Life,yes
2024-03-03-if-theres-a-mantra-that-the-teams-i-work-with.md,If there's a mantra that the teams I work with ...,108,team;there's;mantra;work,Leadership & Culture,no
2024-03-03-making-explicit-the-implicit-exploring-parallel-un.md,Making explicit the implicit: Exploring parallel universes while creating alignment,892,making;explicit;implicit;exploring;parallel,General,no
2024-03-26-in-the-hunt-for-a-great-ta-colleague-reach-to.md,In the hunt for a great TA colleague? Reach to ...,25,hunt;colleague;reach,General,yes
2024-03-26-this-was-a-nice-fun-talk-about-communication-du.md,This was a nice fun talk about Communication du...,95,talk;communication;fun,Leadership & Culture,no
2024-03-28-seizing-the-change-moments-of-change-are-perfe.md,Seizing the change: moments of change are perfe...,140,seizing;change;moments;perfe,General,no
2024-05-02-massive-news-from-sumup-as-massive-as-a-stack.md,Massive news from SumUp: as massive as a stack ...,137,sumup;massive;news;stack,Fintech & Business,no
2024-06-18-australia-here-we-come.md,"🇦🇺 Australia, here we come! 🇦🇺",38,australia;come,General,yes
2024-06-22-didactic-transparency.md,Didactic transparency,76,didactic;transparency,General,no
2024-06-22-sometimes-instead-of-reinventing-the-wheel.md,"💡 Sometimes, instead of reinventing the wheel -...",329,sometimes;instead;reinventing;wheel,General,no
2024-07-12-seneca-said-while-we-teach-we-learnit-was.md,"Seneca said, \",105,seneca;said,General,no
2024-07-13-when-you-manage-people-you-are-management-a.md,When you manage people you are \,220,manage;people,General,no
2024-07-26-never-make-fun-of-someone-who-mispronounces-a-w.md,Never make fun of someone who mispronounces a w...,180,never;fun;someone;mispronounces,General,no
2024-08-23-a-mind-shift-to-start-being-part-of-the-solu.md,- 💡A mind shift to start being part of the solu...,198,mind;shift;start;part;solu,General,no
2024-09-03-some-matches-are-just-destined-to-work-when-li.md,Some matches are just destined to work. When Li...,122,matches;destined;work,General,no
2024-09-15-sumups-hackweek-2024-is-a-wrap-and-what-a-bl.md,SumUp's Hackweek 2024 is a wrap - and what a bl...,292,hackweek;sumup's;wrap,Events & Community,no
2024-09-22-simplest-hack-to-improve-your-next-online-mee.md,🎤 Simplest hack to improve your next online mee...,189,simplest;hack;improve;next;online,General,no
2024-09-25-i-keep-my-productivity-high-by-working-for-myse.md,I keep my productivity high by working for myse...,45,keep;productivity;high;working;myse,General,no
2024-10-18-the-facebookization-of-linkedin-continues-a.md,The \,32,,General,yes
2024-10-28-or-how-as-an-industry-we-have-perverted-agil.md,"Or how, as an industry, we have perverted \",57,industry;perverted,General,no
2024-10-29-nice-and-did-you-tell-them.md,Nice! And... did you tell them?\,147,did;tell,General,yes
2024-10-29-niceand-did-you-tell-them-thats-what-yo.md,Nice!And... did you tell them?\,147,did;tell,General,no
2024-11-10-very-excited-to-be-invited-to-the-panel-to-disc.md,Very excited to be invited to the panel to disc...,44,panel;excited;invited;disc,Events & Community,no
2024-12-18-its-not-only-engineering-positions-in-copenhag.md,It's not only engineering positions in Copenhag...,28,engineering;hiring;it's;copenhag,Career & Hiring,yes
2025-01-02-sunsetting-2024-with-some-relax-and-thankfulness.md,Sunsetting 2024 with some relax… and thankfulness!,277,sunsetting;relax;thankfulness,General,no
2025-01-16-were-hiring-at-sumup-in-copenhagen-now-for.md,We’re #hiring at SumUp in Copenhagen - now for ...,35,hiring;sumup;copenhagen,Career & Hiring,yes
2025-01-28-would-you-like-to-elevate-the-quality-of-your-w.md,Would you like to elevate the quality of your w...,88,like;elevate;quality,General,no
2025-01-29-do-you-know-the-creepy-feeling-of-entering-a-ca.md,Do you know the creepy feeling of entering a ca...,82,creepy;feeling;entering,General,no
