file,title,word_count,proposed_tags,category
2024-07-13-when-you-manage-people-you-are-management-a.md,When you manage people you are \,220,you;leadership;now;part;manage,Leadership & Culture
2024-07-26-never-make-fun-of-someone-who-mispronounces-a-w.md,Never make fun of someone who mispronounces a w...,180,who;mispronounces;you;english;never,General
2024-08-23-a-mind-shift-to-start-being-part-of-the-solu.md,- 💡A mind shift to start being part of the solu...,198,start;you;mind;shift;being,General
2024-09-03-some-matches-are-just-destined-to-work-when-li.md,Some matches are just destined to work. When Li...,122,matches;are;destined;product;liza,Engineering & Product
2024-09-15-sumups-hackweek-2024-is-a-wrap-and-what-a-bl.md,SumUp's Hackweek 2024 is a wrap - and what a bl...,292,hackweek;sumup's;wrap;product;was,Engineering & Product
2024-09-22-simplest-hack-to-improve-your-next-online-mee.md,🎤 Simplest hack to improve your next online mee...,189,you;improve;online;simplest;hack,General
2024-09-25-i-keep-my-productivity-high-by-working-for-myse.md,I keep my productivity high by working for myse...,45,keep;productivity;high;myse;you,General
2024-10-28-or-how-as-an-industry-we-have-perverted-agil.md,"Or how, as an industry, we have perverted \",57,how;industry;perverted;agile;jira,Engineering & Product
2024-10-29-nice-and-did-you-tell-them.md,Nice! And... did you tell them?\,147,you;them;did;tell;feedback,Leadership & Culture
2024-10-29-niceand-did-you-tell-them-thats-what-yo.md,Nice!And... did you tell them?\,147,you;them;did;tell;feedback,Leadership & Culture
2024-11-10-very-excited-to-be-invited-to-the-panel-to-disc.md,Very excited to be invited to the panel to disc...,44,invited;panel;disc;stay;discuss,Events & Community
2025-01-02-sunsetting-2024-with-some-relax-and-thankfulness.md,Sunsetting 2024 with some relax… and thankfulness!,277,sunsetting;relax;thankfulness;off;being,General
2025-01-28-would-you-like-to-elevate-the-quality-of-your-w.md,Would you like to elevate the quality of your w...,88,you;elevate;quality;how;can,General
2025-01-29-do-you-know-the-creepy-feeling-of-entering-a-ca.md,Do you know the creepy feeling of entering a ca...,82,you;feeling;creepy;entering;shop,General
2025-02-04-leadership-isnt-about-staying-in-the-spotlight.md,Leadership isn't about staying in the spotlight...,433,leadership;you;others;isn't;staying,Leadership & Culture
2025-02-27-leadership-isnt-a-job-title-management-is.md,Leadership isn’t a job title. Management is. 🧭\,270,leadership;hiring;but;isn;they,Career & Hiring
2025-03-10-people-your-engagement-ai-automations-are-ge.md,"People, your \",159,but;comments;repetitive;engagement;are,Leadership & Culture
2025-03-21-i-have-a-very-dense-book-recommendation-for-y.md,I have a (very dense) book recommendation for y...,392,you;book;how;systems;thinking,Engineering & Product
2025-04-01-weve-all-been-there-you-want-to-communicate-e.md,We've all been there: you want to communicate e...,142,you;we've;communicate;obvious;acronyms,General
2025-05-07-vibe-coding-has-made-programming-fun-for-me-aga.md,Vibe coding has made programming fun for me aga...,424,code;has;vibe;fun;programming,Engineering & Product
2025-05-19-today-in-vibe-coding-adventures-ive-direct.md,"Today, in \",199,manus;theme;code;but;changes,Engineering & Product
2025-05-21-great-day-of-ai-talks-organized-by-ida-in-thei.md,"Great day of AI talks organized by IDA, in thei...",230,you;talks;organized;ida;thei,General
2025-05-26-latest-vibe-coding-fun-httpslnkdindyrcdk.md,🪄Latest vibe coding fun: https://lnkd.in/dYrcdK...,161,vibe;code;fun;latest;dyrcdk,Engineering & Product
2025-06-16-i-bet-that-this-will-paint-a-familiar-picture.md,I bet that this will paint a familiar picture. ...,110,you;bet;paint;familiar;picture,General
2025-06-16-swapping-tools-to-fix-systemic-issues.md,🔧 Swapping Tools to Fix Systemic Issues?,662,you;tools;are;fix;issues,General
2025-06-19-i-dont-know-who-needs-to-hear-this-but-i-wou.md,I don't know who needs to hear this - but I wou...,176,you;don't;but;who;needs,General
2025-06-27-today-is-a-weird-day-for-me-as-it-is-my-last.md,"🥲 Today is a weird day for me, as it is my last...",254,who;weird;sumup;has;payments,Fintech & Business
2025-07-01-the-update-you-were-expecting-what-comes-next.md,The update you were expecting: what comes next?...,225,you;expecting;comes;they;worksome,General
2025-07-30-i-bring-a-new-book-recommendation-especially-f.md,"I bring a new book recommendation, especially f...",90,book;bring;recommendation;especially;they,Learning & Growth
2025-07-30-why-engineers-need-alchemy-beyond-factual-correctn.md,🦄 Why Engineers Need \,560,engineering;sutherland;are;not;systems,Engineering & Product
2025-08-27-two-months-in-at-worksome-first-job-alert.md,"🚨 Two months in at Worksome, first job alert 🎉\",130,hiring;worksome;alert;product;time,Career & Hiring
2025-08-28-these-thoughts-from-sam-have-resonated-with-me.md,These thoughts from Sam have resonated with me ...,202,hiring;thoughts;sam;resonated;permanent,Career & Hiring
2025-08-29-the-most-overlooked-professional-skill-that-you.md,The most overlooked professional skill that you...,185,you;curiosity;they;overlooked;professional,General
2025-09-28-frustrated-your-team-wont-changethe-solution.md,Frustrated your team won't change?The solution ...,249,you;not;change;frustrated;won't,General
2025-10-18-you-might-be-outraged-at-the-wrong-thing-about-ai.md,🤬You might be outraged at the wrong thing about AI,200,you;outraged;wrong;supervisor;problem,General
